joint_lock,aa_config,n_runs,qd_score,qd_score_std,total_successful_grasps,total_successful_grasps_std,total_robust_grasps,total_robust_grasps_std,success_rate,success_rate_std,robust_success_rate,robust_success_rate_std,success_archive_coverage,success_archive_coverage_std,diversity_knn,diversity_knn_std,avg_fitness,avg_fitness_std,max_fitness,max_fitness_std,runtime,runtime_std,n_evaluations,n_evaluations_std
lock_index_ring,max,5,2918.2,706.9764918298202,4267.8,756.7825050831976,1152.4,365.23669038036144,29.49148514851485,9.219889710718665,8.144158415841584,3.4048633801931922,1.2442565597667639,0.22063629885807512,0.012986520084139757,0.00031158211084130914,0.675062391239653,0.07375891638209227,2.0,0.0,320.6155264377594,90.25434611212222,50500.0,0.0
lock_middle_little,default,5,2892.0,477.1175955673821,4251.4,387.85646829722975,1087.0,183.08467986153292,30.18059405940594,6.422523522053788,7.76,2.169673755989744,1.239475218658892,0.1130776875502127,0.012906524348685583,0.00018101032824615723,0.6781931136853301,0.07546925778333109,2.0,0.0,318.3960488319397,79.35118481626402,50500.0,0.0
lock_ring_little,default,5,2877.6,999.3322970864097,4166.4,951.2384769341492,1133.2,404.60914473106016,30.82138613861386,11.329175074204402,8.626534653465347,3.7215499573287523,1.2146938775510203,0.2773290020216178,0.013133671917010061,0.0007294980391902165,0.664161329467322,0.15084813715115478,2.0,0.0,335.4278769493103,142.14524797067546,50500.0,0.0
lock_index_little,default,5,2853.4,446.4672888353636,4541.4,393.26103290308333,1080.4,225.62411218661893,32.27841584158416,5.299645746160824,7.7726732673267325,2.324117308274544,1.3240233236151602,0.11465336236241502,0.01286066985078183,0.00012090462234240117,0.6290674453400473,0.08779037625690465,2.0,0.0,338.60469460487366,139.78751799965178,50500.0,0.0
lock_middle_ring,max,5,2846.4,349.595537728959,4285.8,588.2562026872305,1064.4,106.02377091954426,28.14059405940594,5.3560967664257655,6.970693069306931,1.0479655438982343,1.2495043731778426,0.17150326608957162,0.012985427661299708,0.00016644620675701927,0.6669108416765523,0.048476462716362224,2.0,0.0,312.9958374977112,86.44988954927642,50500.0,0.0
lock_little,low,5,2829.2,844.9067167445173,4254.2,826.5265633964827,1097.6,335.95630668287805,28.826930693069308,11.564700700151725,7.587722772277227,3.819238757629026,1.2402915451895045,0.24096984355582587,0.013062402134301024,0.00029380953036088256,0.6527385535740632,0.07036524753068715,2.0,0.0,316.44933395385743,111.94866711342951,50500.0,0.0
lock_middle,low,5,2809.8,491.7655538973831,4067.6,746.9314828014682,1074.8,179.10823543321507,29.55683168316832,10.575751991386493,7.7738613861386145,2.6452013769235023,1.1858892128279883,0.21776428070013648,0.013032033501005203,0.00035899765940441796,0.6924595784137957,0.03165527064545196,2.0,0.0,332.5352918624878,143.81641638420444,50500.0,0.0
lock_index_ring,low,5,2788.2,326.36200759279563,4335.8,490.9954785942534,1064.0,123.03983094916865,30.386534653465343,6.421021060521512,7.457821782178217,1.6481593408473196,1.2640816326530613,0.143147369852552,0.012979552049680255,0.000186466616837789,0.6439750080890376,0.03493022221795606,2.0,0.0,327.52446208000185,125.31433301144595,50500.0,0.0
lock_ring_little,mid,5,2770.8,745.657669443559,4163.6,560.1580491254232,1060.2,344.1339274178005,30.231683168316827,9.029888221132554,7.9405940594059405,3.894305173334582,1.2138775510204083,0.16331138458467145,0.012952679836521042,0.00022651325284704042,0.6540558448683588,0.09078678848136397,2.0,0.0,319.3587937831879,92.31037741704692,50500.0,0.0
lock_index_middle,rest,5,2768.8,797.0152821621429,3928.6,853.5557626775184,1090.8,331.5788895572214,27.13425742574257,9.057658081674159,7.598415841584159,2.89400487715504,1.1453644314868803,0.24885007658236688,0.013114499200425298,0.0004861717675019333,0.6907542572952272,0.09239519448768431,2.0,0.0,316.35405173301695,113.57834621111812,50500.0,0.0
