joint_lock,aa_config,n_runs,qd_score,qd_score_std,total_successful_grasps,total_successful_grasps_std,total_robust_grasps,total_robust_grasps_std,success_rate,success_rate_std,robust_success_rate,robust_success_rate_std,success_archive_coverage,success_archive_coverage_std,diversity_knn,diversity_knn_std,avg_fitness,avg_fitness_std,max_fitness,max_fitness_std,runtime,runtime_std,n_evaluations,n_evaluations_std
lock_middle,max,1,167.0,0.0,407.0,0.0,22.0,0.0,1.1326732673267326,0.0,0.0594059405940594,0.0,0.11865889212827989,0.0,0.0190421637960584,0.0,0.4103194103194103,0.0,2.0,0.0,286.15473079681396,0.0,50500.0,0.0
lock_little,rest,1,167.0,0.0,461.0,0.0,33.0,0.0,1.304950495049505,0.0,0.09306930693069307,0.0,0.13440233236151605,0.0,0.019368214631136575,0.0,0.36225596529284165,0.0,2.0,0.0,287.7044138908386,0.0,50500.0,0.0
lock_middle_ring,low,1,159.0,0.0,487.0,0.0,24.0,0.0,1.3623762376237625,0.0,0.06534653465346535,0.0,0.14198250728862974,0.0,0.02007719106677878,0.0,0.3264887063655031,0.0,2.0,0.0,286.7234077453613,0.0,50500.0,0.0
lock_middle_ring_little,low,1,154.0,0.0,448.0,0.0,37.0,0.0,1.2198019801980198,0.0,0.09900990099009901,0.0,0.1306122448979592,0.0,0.01967981621665419,0.0,0.34375,0.0,2.0,0.0,286.3574092388153,0.0,50500.0,0.0
lock_index,mid,1,153.0,0.0,391.0,0.0,32.0,0.0,1.0594059405940595,0.0,0.08514851485148515,0.0,0.11399416909620992,0.0,0.01964195882815429,0.0,0.391304347826087,0.0,2.0,0.0,274.97358894348145,0.0,50500.0,0.0
lock_ring,mid,1,152.0,0.0,332.0,0.0,21.0,0.0,0.895049504950495,0.0,0.05544554455445544,0.0,0.0967930029154519,0.0,0.01988418736149706,0.0,0.4578313253012048,0.0,2.0,0.0,284.009614944458,0.0,50500.0,0.0
lock_index_ring_little,mid,1,151.0,0.0,498.0,0.0,24.0,0.0,1.41980198019802,0.0,0.06732673267326732,0.0,0.14518950437317782,0.0,0.01788996922376395,0.0,0.3032128514056225,0.0,2.0,0.0,287.60322737693787,0.0,50500.0,0.0
lock_ring_little,mid,1,148.0,0.0,314.0,0.0,37.0,0.0,0.8495049504950496,0.0,0.09900990099009901,0.0,0.09154518950437318,0.0,0.02202734950408229,0.0,0.4713375796178344,0.0,2.0,0.0,289.55873560905457,0.0,50500.0,0.0
lock_index_ring_little,rest,1,139.0,0.0,365.0,0.0,20.0,0.0,0.9762376237623762,0.0,0.05346534653465347,0.0,0.10641399416909622,0.0,0.02072211056371409,0.0,0.38082191780821917,0.0,2.0,0.0,287.96336603164673,0.0,50500.0,0.0
lock_middle_little,low,1,138.0,0.0,455.0,0.0,15.0,0.0,1.1742574257425742,0.0,0.03762376237623762,0.0,0.1326530612244898,0.0,0.01970492728172608,0.0,0.3032967032967033,0.0,2.0,0.0,284.7769694328308,0.0,50500.0,0.0
lock_index_middle_little,rest,1,137.0,0.0,369.0,0.0,30.0,0.0,1.0633663366336634,0.0,0.08514851485148515,0.0,0.1075801749271137,0.0,0.0197170621846085,0.0,0.3712737127371274,0.0,2.0,0.0,286.75903487205505,0.0,50500.0,0.0
lock_ring,low,1,133.0,0.0,413.0,0.0,15.0,0.0,1.0554455445544555,0.0,0.03762376237623762,0.0,0.12040816326530614,0.0,0.021003558841115558,0.0,0.3220338983050847,0.0,2.0,0.0,284.3052794933319,0.0,50500.0,0.0
none,max,1,131.0,0.0,448.0,0.0,17.0,0.0,1.2435643564356436,0.0,0.04554455445544555,0.0,0.1306122448979592,0.0,0.01968444552700223,0.0,0.2924107142857143,0.0,2.0,0.0,299.47784328460693,0.0,50500.0,0.0
lock_little,max,1,126.0,0.0,367.0,0.0,34.0,0.0,0.9009900990099009,0.0,0.08316831683168317,0.0,0.10699708454810494,0.0,0.021798107102098955,0.0,0.34332425068119893,0.0,2.0,0.0,287.33867168426514,0.0,50500.0,0.0
lock_ring,default,1,121.0,0.0,431.0,0.0,16.0,0.0,1.087128712871287,0.0,0.039603960396039604,0.0,0.12565597667638484,0.0,0.020433478571613924,0.0,0.28074245939675174,0.0,2.0,0.0,284.5031750202179,0.0,50500.0,0.0
lock_index_middle_little,default,1,106.0,0.0,396.0,0.0,20.0,0.0,0.9821782178217822,0.0,0.04950495049504951,0.0,0.11545189504373178,0.0,0.02227071637911593,0.0,0.2676767676767677,0.0,2.0,0.0,286.8413333892822,0.0,50500.0,0.0
lock_index,low,1,86.0,0.0,278.0,0.0,6.0,0.0,0.7188118811881189,0.0,0.01386138613861386,0.0,0.08104956268221573,0.0,0.022830811767768668,0.0,0.30935251798561153,0.0,2.0,0.0,275.7260682582855,0.0,50500.0,0.0
lock_index_ring,max,1,79.0,0.0,359.0,0.0,8.0,0.0,0.9485148514851485,0.0,0.019801980198019802,0.0,0.10466472303206997,0.0,0.02030099250279573,0.0,0.2200557103064067,0.0,2.0,0.0,286.55852341651917,0.0,50500.0,0.0
lock_middle,rest,1,76.0,0.0,357.0,0.0,11.0,0.0,0.9524752475247524,0.0,0.02772277227722772,0.0,0.10408163265306122,0.0,0.02125408588989397,0.0,0.21288515406162464,0.0,2.0,0.0,297.96913146972656,0.0,50500.0,0.0
none,mid,1,73.0,0.0,332.0,0.0,3.0,0.0,0.8653465346534654,0.0,0.005940594059405941,0.0,0.0967930029154519,0.0,0.021612631258024144,0.0,0.21987951807228914,0.0,2.0,0.0,296.5878252983093,0.0,50500.0,0.0
lock_middle,default,1,65.0,0.0,264.0,0.0,8.0,0.0,0.6693069306930693,0.0,0.019801980198019802,0.0,0.07696793002915452,0.0,0.024233371890558034,0.0,0.24621212121212122,0.0,2.0,0.0,294.9208912849426,0.0,50500.0,0.0
